"type","log"
"sshd","<38>Aug  4 09:14:22 web-prod-03 sshd[24417]: Accepted publickey for deploy from 10.4.19.7 port 51422 ssh2: RSA SHA256:vBn9pQ2xLm7TcRk4aZjWsEoY1HdFgU8bNvXqK3iCpMs"
"sshd","<38>1 2026-03-14T08:22:41.114Z bastion-01.corp.example.com sshd 24817 - [origin ip=""203.0.113.44""] Failed password for invalid user admin from 203.0.113.44 port 40122 ssh2"
"sudo","<85>Aug  4 09:15:03 db-core-01 sudo[31882]:    jhalvorsen : TTY=pts/2 ; PWD=/home/jhalvorsen ; USER=root ; COMMAND=/usr/bin/systemctl restart postgresql"
"sudo","<83>1 2026-03-14T09:03:12.882Z app-prod-07 sudo - - - jdoe : user NOT in sudoers ; TTY=pts/2 ; PWD=/home/jdoe ; USER=root ; COMMAND=/bin/cat /etc/shadow"
"cron","<78>Aug  4 09:17:01 batch-runner-2 CRON[7712]: (www-data) CMD (/usr/local/bin/cache-warm.sh >/dev/null 2>&1)"
"cron","<75>1 2026-03-14T02:15:01.007Z batch-02.dc1.example.net CRON 11294 - [meta sequenceId=""48812""] (backup) CMD (/usr/local/bin/nightly-backup.sh) exited with status 2"
"systemd","<30>Aug  4 09:18:44 app-node-11 systemd[1]: Started Session 4192 of user svc_metrics."
"systemd","<27>1 2026-03-14T11:47:33.421Z web-04 systemd 1 - - nginx.service: Main process exited, code=exited, status=1/FAILURE"
"kernel","<6>Aug  4 09:19:12 build-agent-07 kernel: [ 4821.339017] e1000e: eth0 NIC Link is Up 1000 Mbps Full Duplex, Flow Control: Rx/Tx"
"kernel","<2>1 2026-03-14T04:31:58.663Z db-primary-01 kernel - - - Out of memory: Killed process 20194 (mysqld) total-vm:18442312kB, anon-rss:16003128kB, file-rss:0kB, oom_score_adj:0"
"journald","<30>Aug  4 09:20:05 log-host-01 systemd-journald[418]: Runtime Journal (/run/log/journal/8f2c1b) is 8.0M, max 196.5M, 188.5M free."
"journald","<28>1 2026-03-14T06:12:44.190Z log-agg-03 systemd-journald 388 - [meta sequenceId=""9921""] Failed to write entry (23 items, 712 bytes), ignoring: No space left on device"
"rsyslogd","<45>Aug  4 09:21:30 collector-04 rsyslogd: [origin software=""rsyslogd"" swVersion=""8.2302.0"" x-pid=""889"" x-info=""https://www.rsyslog.com""] rsyslogd was HUPed"
"rsyslogd","<27>1 2026-03-14T06:13:02.554Z log-agg-03 rsyslogd 741 - - action 'action-9-builtin:omfwd' suspended (module 'builtin:omfwd'), retry 0. There should be messages before this one giving the reason for suspension."
"logrotate","<86>Aug  4 03:10:02 web-prod-03 logrotate[2244]: ALERT rotated 6 logs, compressed 4, removed 1 in /etc/logrotate.d/nginx"
"logrotate","<83>1 2026-03-14T03:00:04.318Z web-04 logrotate 30122 - - error: error creating output file /var/log/nginx/access.log.1.gz: Permission denied"
"dbus_daemon","<30>Aug  4 09:22:18 desk-lnx-42 dbus-daemon[1102]: [system] Successfully activated service 'org.freedesktop.nm_dispatcher'"
"dbus_daemon","<28>1 2026-03-14T10:26:19.771Z workstation-118 dbus-daemon 1207 - - [session uid=1000 pid=1207] Rejected send message, 2 matched rules; type=""method_call"", sender="":1.84"" interface=""org.freedesktop.systemd1.Manager"" member=""StartUnit"" error name=""(unset)"" requested_reply=""0"" destination=""org.freedesktop.systemd1"""
"udevd","<30>Aug  4 09:23:41 kvm-host-05 systemd-udevd[3391]: sdc: Process '/usr/sbin/multipath -u sdc' succeeded."
"udevd","<28>1 2026-03-14T05:44:10.902Z storage-node-06 systemd-udevd 512 - [device kernel=""sdg"" subsystem=""block""] Process '/usr/sbin/multipath -u sdg' failed with exit code 1."
"auditd","<85>Aug  4 09:24:09 secure-jump-01 auditd[1521]: Audit daemon rotating log files, current size 8388608"
"auditd","<85>1 2026-03-14T13:08:55.246Z jump-01.corp.example.com auditd 902 - - Audit daemon is low on disk space for logging; space_left=52 admin_space_left=25"
"pam_unix","<86>Aug  4 09:25:52 mail-relay-02 sshd[15003]: pam_unix(sshd:session): session opened for user backupsvc(uid=1204) by (uid=0)"
"pam_unix","<86>1 2026-03-14T09:57:23.505Z vpn-gw-02 sshd 8843 - [origin ip=""198.51.100.77""] pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=198.51.100.77 user=svc_deploy"
"polkitd","<30>Aug  4 09:26:33 desk-lnx-42 polkitd[1215]: Registered Authentication Agent for unix-session:c2 (system bus name :1.184 [gnome-shell], locale en_US.UTF-8)"
"polkitd","<84>1 2026-03-14T14:22:07.663Z workstation-042 polkitd 918 - - Operator of unix-session:c3 FAILED to authenticate to gain authorization for action org.freedesktop.packagekit.system-update for system-bus-name::1.221 [pkcon update] (owned by unix-user:mturner)"
"sssd","<86>Aug  4 09:27:14 ad-client-08 sssd[be[corp.example.com]][2884]: Backend is online, going to reset offline status"
"sssd","<27>1 2026-03-14T08:39:11.288Z app-prod-09 sssd[be[corp.example.com]] 1443 - - Backend is offline, retrying request; LDAP server ldap://dc03.corp.example.com:389 unreachable: Connection timed out"
"openldap_slapd","<86>Aug  4 09:28:47 ldap-01 slapd[1793]: conn=10482 op=1 BIND dn=""uid=svc_bind,ou=services,dc=example,dc=com"" mech=SIMPLE ssf=0 authzDN="""""
"openldap_slapd","<27>1 2026-03-14T12:04:38.019Z dc03.corp.example.com slapd 2211 - [conn id=""104882"" op=""3""] conn=104882 op=3 RESULT tag=97 err=49 text=Invalid credentials"
"freeradius","<86>Aug  4 09:29:55 radius-primary radiusd[2210]: (8471) Login OK: [jbeaumont/<via Auth-Type = eap>] (from client wlc-campus-1 port 13 cli 8c-85-90-3f-2a-7e)"
"freeradius","<86>1 2026-03-14T16:41:52.774Z radius-01.corp.example.com radiusd 3049 - - Login incorrect (mschap: MS-CHAP2-Response is incorrect): [jsmith/<via Auth-Type = mschap>] (from client wlc-hq port 3 cli 8c-85-90-1f-2a-b3)"
"kerberos_kdc","<86>Aug  4 09:30:26 kdc-01 krb5kdc[1996](info): AS_REQ (8 etypes {aes256-cts-hmac-sha1-96}) 10.22.4.61: ISSUE: authtime 1786013426, etypes {rep=18 tkt=18 ses=18}, mwelch@EXAMPLE.COM for krbtgt/EXAMPLE.COM@EXAMPLE.COM"
"kerberos_kdc","<86>1 2026-03-14T07:18:26.441Z kdc-02.corp.example.com krb5kdc 1877 - [krb5 realm=""CORP.EXAMPLE.COM""] AS_REQ (8 etypes {18 17 20 19 16 23 25 26}) 10.42.7.19: PREAUTH_FAILED: bsmith@CORP.EXAMPLE.COM for krbtgt/CORP.EXAMPLE.COM@CORP.EXAMPLE.COM, Preauthentication failed"
"fail2ban","<86>Aug  4 09:31:40 edge-gw-02 fail2ban.actions[1044]: NOTICE [sshd] Unban 203.0.113.88"
"fail2ban","<84>1 2026-03-14T09:24:15.930Z bastion-01.corp.example.com fail2ban.actions 1502 - [ban jail=""sshd"" ip=""45.155.205.211""] NOTICE [sshd] Ban 45.155.205.211 after 6 failures"
"apparmor","<4>Aug  4 09:32:11 web-prod-05 kernel: [ 1204.881233] audit: type=1400 audit(1786013531.442:88): apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" name=""/usr/sbin/nginx"" pid=2891 comm=""apparmor_parser"""
"apparmor","<28>1 2026-03-14T10:11:47.362Z container-host-11 kernel - - - audit: type=1400 audit(1773483107.362:912): apparmor=""DENIED"" operation=""open"" profile=""/usr/sbin/mysqld"" name=""/etc/shadow"" pid=4471 comm=""mysqld"" requested_mask=""r"" denied_mask=""r"" fsuid=110 ouid=0"
"selinux_audit","<85>Aug  4 09:33:02 rhel-app-09 audit[1]: AVC avc:  granted  { setsecparam } for  pid=1 comm=""systemd"" scontext=system_u:system_r:init_t:s0 tcontext=system_u:object_r:security_t:s0 tclass=security"
"selinux_audit","<85>1 2026-03-14T11:35:22.118Z web-06 audispd 1044 - - type=AVC msg=audit(1773487322.118:2041): avc:  denied  { name_connect } for  pid=9912 comm=""httpd"" dest=3306 scontext=system_u:system_r:httpd_t:s0 tcontext=system_u:object_r:mysqld_port_t:s0 tclass=tcp_socket permissive=0"
"snort","<165>Aug  4 09:34:18 ids-sensor-01 snort[4412]: [1:2100498:8] GPL ATTACK_RESPONSE id check returned root [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.9.4.31:44210 -> 198.51.100.20:80"
"snort","<84>1 2026-03-14T13:52:09.845Z ids-sensor-01 snort 4412 - [alert sid=""2024897"" priority=""1""] [1:2024897:3] ET EXPLOIT Possible Apache Struts OGNL Injection [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 185.220.101.42:51422 -> 10.20.4.11:8080"
"suricata","<165>Aug  4 09:35:07 ids-sensor-02 suricata[5230]: [1:2013028:6] ET POLICY curl User-Agent Outbound [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.9.5.77:38122 -> 93.184.216.34:443"
"suricata","<84>1 2026-03-14T13:53:41.612Z ids-sensor-02 suricata 5580 - - [1:2036208:2] ET MALWARE Cobalt Strike Beacon Observed [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 10.20.9.63:49811 -> 91.219.236.18:443"
"zeek","<134>Aug  4 09:36:44 zeek-worker-1 zeek[6611]: conn.log CxT4uz2Ha9 10.14.2.51 49822 172.217.14.238 443 tcp ssl 12.401821 4821 18422 SF T 0 ShADadFf 22 5942 26 19510"
"zeek","<84>1 2026-03-14T14:07:55.203Z zeek-worker-03 zeek 7714 - [notice note=""SSL::Invalid_Server_Cert""] notice: SSL::Invalid_Server_Cert 10.20.9.63:52210 -> 45.61.136.9:443 self signed certificate for CN=update-svc.internal"
"wazuh","<133>Aug  4 09:37:19 wazuh-mgr-01 ossec-analysisd[8121]: ossec: Alert Level: 3; Rule: 5715 - sshd: authentication success.; Location: (web-prod-03) 10.4.19.7->/var/log/secure; srcip: 10.4.19.7; user: deploy;"
"wazuh","<84>1 2026-03-14T15:19:02.447Z wazuh-mgr-01 ossec 3320 - [alert rule=""5710"" level=""10"" agent=""web-04""] Alert Level: 10; Rule: 5710 - Attempt to login using a non-existent user; Location: (web-04) 10.20.4.14->/var/log/secure; srcip: 176.113.115.84"
"ossec","<133>Aug  4 09:38:02 ossec-server ossec-remoted[7744]: INFO: Started (pid: 7744). Listening on port 1514/udp (agent events)."
"ossec","<84>1 2026-03-14T15:21:44.008Z ossec-hids-01 ossec-syscheckd 2288 - - Integrity checksum changed for: '/etc/sudoers' - Old md5sum was: '3f9b1c...' New md5sum is: 'a71e04...'"
"clamav","<134>Aug  4 09:39:31 mail-relay-02 clamd[3320]: SelfCheck: Database status OK."
"clamav","<84>1 2026-03-14T17:02:33.719Z mail-relay-02 clamd 1926 - [scan engine=""0.103.11""] /var/spool/amavis/tmp/amavis-20260314T170228/parts/p003: Win.Trojan.Emotet-9871234-0 FOUND"
"crowdstrike_falcon","<134>Aug  4 09:40:14 win-fs-04 falcon-sensor[2118]: CS_SENSOR_STATUS agent_id=8fb2c41d90e34a7b9c2e1f5a63d80b17 status=RUNNING version=7.14.16903.0 cid=1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d policy=Default (Windows) applied"
"crowdstrike_falcon","<84>1 2026-03-14T18:14:26.552Z FALCON-HOST falcon-sensor - DetectionSummaryEvent [cs severity=""high"" tactic=""Defense Evasion""] DetectionSummaryEvent ComputerName=FIN-LAPTOP-231 UserName=CORP\rkelly FileName=powershell.exe CommandLine=""powershell -nop -w hidden -enc SQBFAFgA"" PatternDispositionDescription=""Process blocked"" SeverityName=High Tactic=""Defense Evasion"" Technique=""Obfuscated Files or Information"""
"sentinelone","<134>Aug  4 09:41:26 s1-agent-host SentinelOne[4402]: Agent 22.4.3.245 reported: Full Disk Scan completed successfully, 482913 files scanned, 0 threats found, endpoint=fin-wks-118"
"sentinelone","<84>1 2026-03-14T18:31:09.284Z s1-mgmt.example.com SentinelOne - Threat - Threat detected: name=invoice_2026.docm.exe classification=Ransomware confidenceLevel=malicious mitigationStatus=not_mitigated endpoint=HR-DESK-014 filePath=C:\Users\jlopez\Downloads\invoice_2026.docm.exe sha1=9f2b7c4de81a0355bb61d0f2e9c7a4418d3b7e11"
"carbon_black","<134>Aug  4 09:42:53 cb-sensor-12 cbagentd[3901]: sensor_id=88213 device_name=eng-mac-07 event=policy_update_success policy_name=Standard_Workstation policy_id=44 build=3.8.0.629"
"carbon_black","<84>1 2026-03-14T19:05:47.930Z cbr-server-01 cb-notifications - alert [cb type=""alert"" reason=""blocked""] Carbon Black Cloud alert: device_name=ENG-WS-088 threat_category=NEW_MALWARE reason=""Process rundll32.exe was blocked because it attempted to inject code into lsass.exe"" severity=8 policy_applied=TERMINATE"
"tenable_nessus","<134>Aug  4 09:43:37 nessus-scan-01 nessusd[9142]: user 'svc_scan' finished scan 'Weekly Credentialed Patch Audit' on 254 hosts in 01:42:19"
"tenable_nessus","<83>1 2026-03-14T20:44:01.117Z nessus-scan-01 nessusd 2891 - - Scan 'Weekly PCI Internal' aborted: plugin 19506 failed on host 10.20.4.11 - Could not establish authenticated session (SMB credentials rejected)"
"nginx","<190>Aug  4 09:44:02 web-prod-03 nginx[2891]: 203.0.113.45 - - [04/Aug/2026:09:44:02 -0400] ""GET /api/v2/orders/88214 HTTP/1.1"" 200 4821 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36"" 0.042"
"nginx","<187>1 2026-03-14T21:12:38.442Z web-04 nginx 1841 - [http status=""502"" upstream=""10.20.6.31:8080""] 2026/03/14 21:12:38 [error] 1841#1841: *88231 connect() failed (111: Connection refused) while connecting to upstream, client: 203.0.113.9, server: shop.example.com, request: ""POST /api/v2/checkout HTTP/1.1"", upstream: ""http://10.20.6.31:8080/api/v2/checkout"", host: ""shop.example.com"""
"apache_httpd","<190>Aug  4 09:45:11 legacy-web-01 httpd[4172]: 198.51.100.77 - jdoe [04/Aug/2026:09:45:11 -0400] ""POST /portal/login.jsp HTTP/1.1"" 302 512 ""https://portal.example.com/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64)"""
