type,log
active-directory,"{""EventTime"":""2026-08-04T15:09:31.402841Z"",""Hostname"":""DC01.acme.io"",""EventID"":4624,""Channel"":""Security"",""Provider"":""Microsoft-Windows-Security-Auditing"",""Task"":""Logon"",""Keywords"":""Audit Success"",""Level"":""Information"",""Message"":""An account was successfully logged on."",""SubjectUserSid"":""S-1-0-0"",""SubjectUserName"":""-"",""SubjectDomainName"":""-"",""SubjectLogonId"":""0x0"",""TargetUserSid"":""S-1-5-21-3982174650-1928374651-4718293046-1104"",""TargetUserName"":""marcus.feld"",""TargetDomainName"":""ACME"",""TargetLogonId"":""0x4a1f8c2"",""LogonType"":3,""LogonProcessName"":""Kerberos"",""AuthenticationPackageName"":""Kerberos"",""WorkstationName"":""MARCUS-MBP"",""IpAddress"":""10.1.2.88"",""IpPort"":""52104"",""ImpersonationLevel"":""%%1833"",""ElevatedToken"":""%%1842"",""RecordNumber"":8827104192,""ProcessName"":""-""}"
active-directory,"{""EventID"":4625,""TimeCreated"":""2026-07-19T05:12:41.8823110Z"",""Computer"":""DC01.corp.example.net"",""Channel"":""Security"",""Provider"":""Microsoft-Windows-Security-Auditing"",""Level"":""Information"",""Keywords"":""Audit Failure"",""Task"":""Logon"",""EventRecordID"":884471029,""SubjectUserSid"":""S-1-0-0"",""SubjectUserName"":""-"",""SubjectDomainName"":""-"",""SubjectLogonId"":""0x0"",""TargetUserSid"":""S-1-0-0"",""TargetUserName"":""administrator"",""TargetDomainName"":""CORP"",""Status"":""0xc000006d"",""SubStatus"":""0xc000006a"",""FailureReason"":""%%2313"",""LogonType"":3,""LogonProcessName"":""NtLmSsp"",""AuthenticationPackageName"":""NTLM"",""WorkstationName"":""WIN-4471XKQ2"",""TransmittedServices"":""-"",""LmPackageName"":""-"",""KeyLength"":0,""ProcessId"":""0x0"",""ProcessName"":""-"",""IpAddress"":""10.2.44.118"",""IpPort"":""52410"",""Message"":""An account failed to log on. Unknown user name or bad password.""}"
adyen,"{""live"":""true"",""notificationItems"":[{""NotificationRequestItem"":{""additionalData"":{""hmacSignature"":""9c1e7f3a2b845d0671ab34cd82ef5091"",""authCode"":""041827"",""cardSummary"":""4242"",""expiryDate"":""11/2029"",""paymentMethodVariant"":""visa"",""shopperCountry"":""US"",""cvcResult"":""1 Matches"",""avsResult"":""0 Address confirmed""},""amount"":{""currency"":""USD"",""value"":148390},""eventCode"":""AUTHORISATION"",""eventDate"":""2026-08-04T15:44:31+00:00"",""merchantAccountCode"":""AcmeIncCOM"",""merchantReference"":""INV20260804-0881"",""paymentMethod"":""visa"",""pspReference"":""XK7PL9MZV2QR8ZX1"",""reason"":""041827:4242:11/2029"",""success"":""true"",""operations"":[""CANCEL"",""CAPTURE"",""REFUND""]}}]}"
adyen,"{""live"":""true"",""notificationItems"":[{""NotificationRequestItem"":{""eventCode"":""REFUSAL"",""eventDate"":""2026-07-26T09:14:02+02:00"",""merchantAccountCode"":""ExampleNetECOM"",""merchantReference"":""ORDER-8814"",""pspReference"":""XKQ2MLPQ9ZL0DPFA"",""originalReference"":null,""paymentMethod"":""mc"",""amount"":{""currency"":""EUR"",""value"":16499},""success"":""false"",""reason"":""05 : Do not honour"",""operations"":[""CANCEL""],""additionalData"":{""refusalReasonRaw"":""05 : Do not honour"",""refusalReason"":""Refused"",""cardSummary"":""1142"",""expiryDate"":""03/2030"",""issuerCountry"":""NL"",""shopperInteraction"":""Ecommerce"",""acquirerCode"":""AdyenNL"",""acquirerReference"":""441882210933"",""authCode"":"""",""threeDAuthenticated"":""false"",""fraudResultType"":""GREEN"",""fraudManualReview"":""false"",""totalFraudScore"":""12"",""hmacSignature"":""9f81c3ad2b74e560a1c7d2b4e9f0a51c=""}}}]}"
airflow,"{""timestamp"":""2026-08-04T15:03:02.184291+00:00"",""level"":""INFO"",""logger"":""airflow.task"",""event"":""Marking task as SUCCESS"",""dag_id"":""orders_daily_etl"",""task_id"":""load_invoices"",""run_id"":""scheduled__2026-08-04T14:00:00+00:00"",""map_index"":-1,""try_number"":1,""execution_date"":""2026-08-04T14:00:00+00:00"",""start_date"":""2026-08-04T15:00:11.402841+00:00"",""end_date"":""2026-08-04T15:03:02.118402+00:00"",""duration"":170.716,""operator"":""PythonOperator"",""hostname"":""airflow-worker-7f3a"",""pool"":""default_pool"",""queue"":""default"",""state"":""success""}"
airflow,"{""asctime"":""2026-07-08T09:44:12.118+0000"",""levelname"":""ERROR"",""name"":""airflow.task"",""filename"":""taskinstance.py"",""lineno"":2818,""message"":""Task failed with exception"",""dag_id"":""orders_daily_etl"",""task_id"":""load_to_warehouse"",""run_id"":""scheduled__2026-07-08T08:00:00+00:00"",""map_index"":-1,""try_number"":3,""max_tries"":3,""state"":""failed"",""operator"":""SnowflakeOperator"",""hostname"":""airflow-worker-04"",""queue"":""etl"",""pool"":""warehouse_pool"",""execution_date"":""2026-07-08T08:00:00+00:00"",""duration"":884.471,""exception"":""snowflake.connector.errors.ProgrammingError: 091003 (22000): Failure using stage area. Cause: [Access Denied (Status Code: 403; Error Code: AccessDenied)]"",""exc_type"":""ProgrammingError""}"
akamai,"{""type"":""cloudmonitor"",""format"":""default"",""version"":""1.0"",""id"":""9c1e7f3a2b845d06-418273904651"",""cp"":""1284192"",""message"":{""proto"":""HTTPS"",""protoVer"":""2.0"",""status"":""200"",""cliIP"":""198.51.100.72"",""reqPort"":""443"",""reqHost"":""cdn.acme.io"",""reqMethod"":""GET"",""reqPath"":""/static/js/app.9f3ac12b.js"",""reqContentType"":"""",""bytes"":""24688"",""UA"":""Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20Chrome/128.0.0.0"",""tls"":""TLSv1.3"",""fwdHost"":""origin.acme.io""},""reqTimeSec"":""1786036171.402"",""geo"":{""country"":""US"",""region"":""MA"",""city"":""BOSTON"",""asn"":""701""},""netPerf"":{""downloadTime"":""18"",""lastMileRTT"":""12"",""cacheStatus"":""1"",""firstByte"":""4""},""cacheStatus"":""1"",""turnAroundTimeMSec"":""4"",""transferTimeMSec"":""18"",""totalBytes"":""24688"",""queryStr"":""v=2026080401"",""edgeIP"":""23.62.114.201""}"
akamai,"{""type"":""cloudmonitor"",""format"":""default"",""version"":""1.0"",""reqId"":""9f81c3ad2b74e560"",""start"":""1783232042.771"",""cp"":""884471"",""message"":{""proto"":""https"",""protoVer"":""2"",""status"":""403"",""cliIP"":""45.153.160.132"",""reqPort"":""443"",""reqHost"":""api.example.net"",""reqMethod"":""GET"",""reqPath"":""/v1/search"",""reqJSON"":""q=1'+UNION+SELECT+password+FROM+users--"",""bytes"":""1284"",""UA"":""python-requests%2f2.32.3"",""fwdHost"":""origin-api.example.net"",""dur"":""18""},""network"":{""edgeIP"":""23.55.44.19"",""asn"":""9009"",""networkType"":"""",""location"":{""city"":""AMSTERDAM"",""country"":""NL""}},""security"":{""ruleActions"":[""deny""],""ruleTags"":[""WAF/ATTACK/SQL_INJECTION""],""ruleData"":[""UNION SELECT""],""ruleSelectors"":[""ARGS:q""],""ruleVersions"":[""1""],""ruleMessages"":[""SQL Injection Attack""],""policyId"":""4471_88447"",""configId"":""88447"",""attackId"":""441882210"",""warnRules"":[]},""geo"":{""country"":""NL"",""city"":""AMSTERDAM"",""asnum"":""9009""}}"
akka-scala,"{""@timestamp"":""2026-08-04T16:07:31.402Z"",""level"":""INFO"",""logger_name"":""io.acme.ledger.LedgerActor"",""thread_name"":""acme-akka.actor.default-dispatcher-14"",""message"":""Persisted LedgerEntryCreated for account 8812 seqNr=88271"",""akkaSource"":""akka://acme/user/ledger/account-8812"",""akkaAddress"":""akka://acme@10.1.6.31:25520"",""akkaUid"":""4182739046512837410"",""sourceActorSystem"":""acme"",""persistenceId"":""account-8812"",""sequenceNr"":88271,""actorRef"":""Actor[akka://acme/user/ledger/account-8812#418273904]"",""host"":""ledger-2"",""durationMs"":18.4}"
akka-scala,"{""@timestamp"":""2026-07-26T09:14:02.771Z"",""level"":""ERROR"",""logger_name"":""akka.actor.SupervisorStrategy"",""thread_name"":""orders-system-akka.actor.default-dispatcher-18"",""message"":""Ask timed out on [Actor[akka://orders-system/user/inventory-router#-441882210]] after [5000 ms]. Message of type [com.example.orders.ReserveStock]."",""akkaSource"":""akka://orders-system/user/order-saga/order-8814"",""akkaAddress"":""akka://orders-system@10.244.5.31:2552"",""akkaUid"":""4418822109337201884"",""sourceActorSystem"":""orders-system"",""stack_trace"":""akka.pattern.AskTimeoutException: Ask timed out on [Actor[akka://orders-system/user/inventory-router]]\n\tat akka.pattern.PromiseActorRef$.$anonfun$defaultOnTimeout$1(AskSupport.scala:649)"",""actorPath"":""/user/order-saga/order-8814"",""supervisorDirective"":""Restart"",""restartCount"":3,""orderId"":8814}"
