"type","log"
"windows_event_log","<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><System><Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""{54849625-5478-4994-a5ba-3e3b0328c30d}""/><EventID>4624</EventID><Version>2</Version><Level>0</Level><Task>12544</Task><Opcode>0</Opcode><Keywords>0x8020000000000000</Keywords><TimeCreated SystemTime=""2026-07-14T09:12:41.7734512Z""/><EventRecordID>884213</EventRecordID><Correlation ActivityID=""{4a1f9c22-8f77-0003-2b9d-1f4a778fdc01}""/><Execution ProcessID=""996"" ThreadID=""4412""/><Channel>Security</Channel><Computer>WIN-DC01.corp.example.com</Computer><Security/></System><EventData><Data Name=""SubjectUserSid"">S-1-5-18</Data><Data Name=""SubjectUserName"">WIN-DC01$</Data><Data Name=""SubjectDomainName"">CORP</Data><Data Name=""SubjectLogonId"">0x3e7</Data><Data Name=""TargetUserSid"">S-1-5-21-3623811015-3361044348-30300820-1109</Data><Data Name=""TargetUserName"">jdoe</Data><Data Name=""TargetDomainName"">CORP</Data><Data Name=""TargetLogonId"">0x1a4f92c</Data><Data Name=""LogonType"">3</Data><Data Name=""LogonProcessName"">Kerberos</Data><Data Name=""AuthenticationPackageName"">Kerberos</Data><Data Name=""WorkstationName"">WKS-4471</Data><Data Name=""IpAddress"">10.44.18.207</Data><Data Name=""IpPort"">51204</Data></EventData></Event>"
"windows_event_log","<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><System><Provider Name=""Microsoft-Windows-Security-Auditing"" Guid=""{54849625-5478-4994-A5BA-3E3B0328C30D}""/><EventID>4625</EventID><Version>0</Version><Level>0</Level><Task>12544</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime=""2026-03-11T04:17:52.884213100Z""/><EventRecordID>887431</EventRecordID><Correlation ActivityID=""{3f2a9c11-77d4-4b0e-9a3e-1c8b5d6e2f40}""/><Execution ProcessID=""732"" ThreadID=""4188""/><Channel>Security</Channel><Computer>DC01.corp.northwind.local</Computer><Security/></System><EventData><Data Name=""SubjectUserSid"">S-1-0-0</Data><Data Name=""TargetUserName"">svc_backup</Data><Data Name=""TargetDomainName"">CORP</Data><Data Name=""Status"">0xc000006d</Data><Data Name=""SubStatus"">0xc000006a</Data><Data Name=""LogonType"">3</Data><Data Name=""WorkstationName"">-</Data><Data Name=""IpAddress"">185.220.101.44</Data><Data Name=""IpPort"">51422</Data><Data Name=""LogonProcessName"">NtLmSsp</Data><Data Name=""AuthenticationPackageName"">NTLM</Data></EventData></Event>"
"windows_defender_mp_log","<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><System><Provider Name=""Microsoft-Windows-Windows Defender"" Guid=""{11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78}""/><EventID>1151</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime=""2026-07-14T03:05:17.4412098Z""/><EventRecordID>20114</EventRecordID><Correlation/><Execution ProcessID=""4308"" ThreadID=""5120""/><Channel>Microsoft-Windows-Windows Defender/Operational</Channel><Computer>LAPTOP-K7RQ2M.corp.example.com</Computer><Security UserID=""S-1-5-18""/></System><EventData><Data Name=""Product Name"">Microsoft Defender Antivirus</Data><Data Name=""Product Version"">4.18.26050.5</Data><Data Name=""Service Version"">4.18.26050.5</Data><Data Name=""Engine Version"">1.1.25060.3</Data><Data Name=""AS Signature Version"">1.437.812.0</Data><Data Name=""AV Signature Version"">1.437.812.0</Data><Data Name=""Platform Version"">4.18.26050.5</Data><Data Name=""RTP State"">Enabled</Data><Data Name=""Last quick scan start time"">2026-07-14T02:00:03Z</Data></EventData></Event>"
"windows_defender_mp_log","<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><System><Provider Name=""Microsoft-Windows-Windows Defender"" Guid=""{11CD958A-C507-4EF3-B3F2-5FD9DFBD2C78}""/><EventID>1116</EventID><Level>3</Level><TimeCreated SystemTime=""2026-04-02T13:48:09.512004Z""/><EventRecordID>20417</EventRecordID><Channel>Microsoft-Windows-Windows Defender/Operational</Channel><Computer>WKS-FIN-0912.corp.local</Computer></System><EventData><Data Name=""Product Name"">Microsoft Defender Antivirus</Data><Data Name=""Threat Name"">Trojan:Win32/Wacatac.B!ml</Data><Data Name=""Severity Name"">Severe</Data><Data Name=""Category Name"">Trojan</Data><Data Name=""Path"">file:_C:\Users\jrivera\Downloads\invoice_3841.scr</Data><Data Name=""Detection User"">CORP\jrivera</Data><Data Name=""Process Name"">C:\Program Files\Google\Chrome\Application\chrome.exe</Data><Data Name=""Action Name"">Quarantine</Data><Data Name=""Error Code"">0x80508023</Data><Data Name=""Error Description"">The program could not find the malware and other potentially unwanted software on this device.</Data></EventData></Event>"
"windows_task_scheduler","<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><System><Provider Name=""Microsoft-Windows-TaskScheduler"" Guid=""{de7b24ea-73c8-4a09-985d-5bdadcfa9017}""/><EventID>102</EventID><Version>0</Version><Level>4</Level><Task>102</Task><Opcode>2</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime=""2026-06-29T22:30:12.0148765Z""/><EventRecordID>551902</EventRecordID><Correlation ActivityID=""{9ee14a0c-51b3-4f28-b9d7-6a1c5f884b3e}""/><Execution ProcessID=""1284"" ThreadID=""9016""/><Channel>Microsoft-Windows-TaskScheduler/Operational</Channel><Computer>SQL-NODE02.corp.example.com</Computer><Security UserID=""S-1-5-18""/></System><EventData Name=""TaskSuccessEvent""><Data Name=""TaskName"">\Microsoft\Windows\Backup\NightlyDiffBackup</Data><Data Name=""TaskInstanceId"">{7f0c1d3b-2a90-4c17-9f45-0c8b6e21aa74}</Data><Data Name=""UserContext"">CORP\svc_backup</Data></EventData></Event>"
"windows_task_scheduler","<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><System><Provider Name=""Microsoft-Windows-TaskScheduler"" Guid=""{DE7B24EA-73C8-4A09-985D-5BDADCFA9017}""/><EventID>101</EventID><Level>2</Level><Task>101</Task><TimeCreated SystemTime=""2026-02-19T02:00:01.117683Z""/><EventRecordID>55219</EventRecordID><Correlation ActivityID=""{9c4d1a77-2b83-41ef-8d15-6a90fe3c7b12}""/><Execution ProcessID=""1288"" ThreadID=""3320""/><Channel>Microsoft-Windows-TaskScheduler/Operational</Channel><Computer>APPSRV14.corp.local</Computer></System><EventData Name=""TaskStartFailedEvent""><Data Name=""TaskName"">\Nightly\DBExportJob</Data><Data Name=""UserContext"">CORP\svc_dbexport</Data><Data Name=""ResultCode"">2147943785</Data></EventData></Event>"
"microsoft_iis","<failedRequest url=""https://shop.example.com/api/v2/cart/checkout"" siteId=""3"" appPoolId=""ShopAppPool"" processId=""7412"" verb=""POST"" remoteUserName="""" userName=""IIS APPPOOL\ShopAppPool"" tokenUserName=""IIS APPPOOL\ShopAppPool"" authenticationType=""anonymous"" activityId=""{00000090-0000-EB00-B63F-84710C7967BB}"" failureReason=""STATUS_CODE"" statusCode=""200"" triggerStatusCode=""200"" timeTaken=""148"" xmlns:freb=""http://schemas.microsoft.com/win/2006/06/iis/freb""><Event><System><Provider Name=""WWW Server"" Guid=""{3A2A4E84-4C21-4981-AE10-3FDA0D9B0F83}""/><EventID>2</EventID><TimeCreated SystemTime=""2026-05-03T16:44:02.318Z""/><Correlation ActivityID=""{00000090-0000-EB00-B63F-84710C7967BB}""/><Execution ProcessID=""7412"" ThreadID=""38""/><Computer>IIS-WEB07</Computer></System><EventData><Data Name=""ContextId"">{00000090-0000-EB00-B63F-84710C7967BB}</Data><Data Name=""SiteId"">3</Data><Data Name=""ConnId"">1610612807</Data><Data Name=""RawConnId"">0</Data><Data Name=""RequestURL"">https://shop.example.com:443/api/v2/cart/checkout</Data><Data Name=""RequestVerb"">POST</Data></EventData><RenderingInfo Culture=""en-US""><Opcode>GENERAL_REQUEST_START</Opcode></RenderingInfo></Event></failedRequest>"
"microsoft_iis","<W3CLogRecord xmlns=""urn:microsoft:iis:logging""><date>2026-05-07</date><time>18:22:41</time><s-ip>10.42.7.19</s-ip><cs-method>POST</cs-method><cs-uri-stem>/api/v2/orders/submit</cs-uri-stem><cs-uri-query>retry=1</cs-uri-query><s-port>443</s-port><cs-username>-</cs-username><c-ip>203.0.113.88</c-ip><cs-User-Agent>python-requests/2.32.1</cs-User-Agent><cs-Referer>-</cs-Referer><sc-status>500</sc-status><sc-substatus>0</sc-substatus><sc-win32-status>0</sc-win32-status><time-taken>30117</time-taken><X-Forwarded-For>198.51.100.23</X-Forwarded-For></W3CLogRecord>"
"sql_server_profiler_trace","<TraceData xmlns=""http://tempuri.org/TracePersistence.xsd""><Events><Event id=""12"" name=""SQL:BatchCompleted""><Column id=""1"" name=""TextData"">SELECT TOP 200 order_id, customer_id, total_amount FROM dbo.Orders WHERE order_date &gt;= @p0</Column><Column id=""3"" name=""DatabaseID"">7</Column><Column id=""12"" name=""SPID"">83</Column><Column id=""13"" name=""Duration"">4137</Column><Column id=""14"" name=""StartTime"">2026-04-11T13:22:08.113</Column><Column id=""15"" name=""EndTime"">2026-04-11T13:22:08.117</Column><Column id=""16"" name=""Reads"">312</Column><Column id=""17"" name=""Writes"">0</Column><Column id=""18"" name=""CPU"">3</Column><Column id=""11"" name=""LoginName"">CORP\app_reader</Column><Column id=""35"" name=""DatabaseName"">SalesDW</Column><Column id=""8"" name=""HostName"">APP-NODE04</Column><Column id=""10"" name=""ApplicationName"">.Net SqlClient Data Provider</Column></Event></Events></TraceData>"
"sql_server_profiler_trace","<TraceData xmlns=""http://tempuri.org/TracePersistence.xsd""><Events><Event id=""33"" name=""Exception""><Column id=""31"" name=""Error"">1205</Column><Column id=""30"" name=""State"">2</Column><Column id=""20"" name=""Severity"">13</Column><Column id=""1"" name=""TextData"">Transaction (Process ID 87) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction.</Column><Column id=""11"" name=""LoginName"">CORP\app_svc</Column><Column id=""35"" name=""DatabaseName"">SalesOLTP</Column><Column id=""9"" name=""ClientProcessID"">7412</Column><Column id=""12"" name=""SPID"">87</Column><Column id=""14"" name=""StartTime"">2026-01-28T09:14:03.463</Column><Column id=""26"" name=""ServerName"">SQLPRD03\INST1</Column></Event></Events></TraceData>"
